Male ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
x,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000690005,0.000781725,0.000874625,0.000967341,0.001058641,0.001147489,0.0012331,0.001314964,0.00139287,0.001466903,0.001537438,0.001605128,0.00167088,0.001735844,0.001801403,0.00186917,0.001941001,0.002019024,0.002105687,0.002203835,0.002316817,0.002448639,0.00260417,0.002789426,0.003011959,0.003223871,0.003483182,0.003801552,0.004193043,0.004674706,0.005267264,0.005984485,0.006864356,0.0079411,0.009253836,0.010845548,0.012760972,0.015046206,0.017749776,0.020922136,0.024615247,0.028882722,0.033780935,0.039371474,0.045725461,0.052930243,0.061096996,0.070345616,0.080769826,0.092405394,0.105188956,0.118910303,0.133209452,0.147611036,0.161547804,0.174397451,0.192300236,0.208911309,0.223526753,0.234362144,0.242047937,0.246376249,0.247363475,0.245539233,0.243728444,0.241931009,0.241931009,0.241931009,0.241931009,0.241931009,0.241931009,0.241931009,0.241931009
x+1,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000768826,0.000871024,0.000974536,0.001077843,0.001179572,0.00127857,0.00137396,0.001465176,0.001551981,0.001634471,0.001713065,0.001788486,0.001861749,0.001934134,0.002007182,0.002082691,0.002162727,0.002249663,0.002346226,0.002455586,0.002581474,0.002728355,0.002901652,0.00310807,0.003356024,0.003592143,0.003881077,0.004235815,0.004672027,0.005208712,0.00586896,0.006668111,0.007648492,0.008848235,0.010310929,0.012084467,0.014218696,0.016764979,0.019777386,0.023312135,0.02742712,0.032182083,0.037639833,0.043868996,0.050948818,0.058976624,0.06807629,0.078381408,0.089996407,0.102961141,0.117205008,0.132493786,0.14842637,0.16447309,0.180001896,0.194319398,0.214267272,0.232775877,0.249060888,0.261134039,0.269697803,0.274520551,0.275620551,0.27358792,0.271570279,0.269567518,0.269567518,0.269567518,0.269567518,0.269567518,0.269567518,0.269567518,0.269567518,0.269567518
x+2,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000812668,0.000920693,0.001030108,0.001139306,0.001246836,0.001351479,0.001452309,0.001548726,0.001640481,0.001727675,0.00181075,0.001890473,0.001967913,0.002044426,0.002121639,0.002201454,0.002286054,0.002377947,0.002480017,0.002595613,0.00272868,0.002883936,0.003067115,0.003285304,0.003547397,0.003796981,0.00410239,0.004477357,0.004938443,0.005505733,0.00620363,0.007048352,0.008084638,0.009352795,0.010898897,0.012773569,0.0150295,0.017720982,0.020905167,0.024641481,0.028991118,0.034017226,0.039786197,0.046370571,0.053854111,0.062339692,0.071958255,0.082851011,0.09512834,0.108832372,0.123888477,0.140049079,0.156890198,0.173851963,0.19026628,0.20540022,0.226485597,0.246049632,0.263263275,0.276024882,0.285076984,0.290174743,0.29133747,0.28918893,0.287056236,0.28493927,0.28493927,0.28493927,0.28493927,0.28493927,0.28493927,0.28493927,0.28493927,0.28493927,0.28493927
x+3,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000823965,0.000933491,0.001044428,0.001155144,0.001264168,0.001370266,0.001472497,0.001570255,0.001663285,0.001751691,0.001835921,0.001916752,0.001995269,0.002072845,0.002151132,0.002232056,0.002317832,0.002411003,0.002514491,0.002631694,0.002766611,0.002924025,0.003109751,0.003330973,0.003596709,0.003849762,0.004159417,0.004539597,0.005007092,0.005582267,0.006289866,0.00714633,0.008197021,0.009482807,0.011050402,0.012951133,0.015238423,0.017967319,0.021195768,0.02498402,0.029394121,0.034490097,0.040339262,0.047015165,0.054602732,0.063206271,0.072958541,0.084002715,0.096450711,0.110345241,0.12561064,0.141995889,0.159071115,0.176268664,0.192911155,0.20825547,0.229633953,0.249469946,0.266922874,0.279861879,0.289039814,0.294208437,0.295387326,0.293208921,0.29104658,0.288900186,0.288900186,0.288900186,0.288900186,0.288900186,0.288900186,0.288900186,0.288900186,0.288900186,0.288900186,0.288900186
x+4,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000809544,0.000917154,0.001026149,0.001134927,0.001242043,0.001346285,0.001446727,0.001542773,0.001634176,0.001721034,0.00180379,0.001883206,0.001960349,0.002036568,0.002113485,0.002192992,0.002277267,0.002368807,0.002470484,0.002585636,0.002718192,0.002872851,0.003055326,0.003272676,0.003533762,0.003782387,0.004086622,0.004460148,0.004919461,0.00548457,0.006179785,0.00702126,0.008053563,0.009316846,0.010857005,0.012724471,0.014971731,0.017652867,0.020824814,0.024546766,0.028879685,0.033886474,0.039633271,0.046192337,0.053647112,0.062100077,0.071681669,0.082532556,0.094762696,0.108414053,0.123412287,0.139510773,0.15628716,0.173183728,0.189534954,0.204610723,0.225615054,0.245103891,0.26225137,0.274963925,0.283981234,0.289059399,0.290217656,0.288077375,0.285952878,0.283844049,0.283844049,0.283844049,0.283844049,0.283844049,0.283844049,0.283844049,0.283844049,0.283844049,0.283844049,0.283844049,0.283844049
x+5,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000777962,0.000881374,0.000986116,0.001090651,0.001193588,0.001293763,0.001390286,0.001482586,0.001570422,0.001653893,0.00173342,0.001809738,0.001883871,0.001957116,0.002031032,0.002107438,0.002188426,0.002276394,0.002374105,0.002484764,0.002612148,0.002760774,0.002936131,0.003145001,0.003395901,0.003634826,0.003927193,0.004286146,0.004727541,0.005270604,0.005938697,0.006747344,0.007739374,0.008953373,0.010433447,0.012228059,0.014387647,0.016964186,0.020012387,0.023589137,0.027753018,0.03256448,0.038087081,0.044390261,0.051554207,0.059677402,0.068885193,0.07931276,0.091065772,0.104184557,0.118597674,0.134068118,0.150190017,0.166427409,0.182140734,0.19662836,0.216813261,0.235541791,0.252020305,0.264236913,0.272902434,0.277782488,0.278895559,0.276838775,0.27479716,0.272770601,0.272770601,0.272770601,0.272770601,0.272770601,0.272770601,0.272770601,0.272770601,0.272770601,0.272770601,0.272770601,0.272770601,0.272770601
x+6,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000737454,0.000835481,0.00093477,0.001033861,0.001131439,0.001226397,0.001317895,0.001405389,0.001488652,0.001567775,0.001643162,0.001715506,0.001785779,0.00185521,0.001925278,0.001997705,0.002074476,0.002157864,0.002250486,0.002355384,0.002476135,0.002617022,0.002783248,0.002981243,0.003219078,0.003445563,0.003722706,0.004062969,0.004481381,0.004996167,0.005629472,0.006396014,0.007336389,0.008487176,0.009890184,0.011591351,0.013638491,0.016080871,0.018970354,0.022360865,0.026307935,0.030868868,0.03610391,0.042078887,0.048869811,0.056570036,0.065298383,0.075182993,0.086324033,0.098759731,0.112422365,0.127087273,0.142369715,0.157761636,0.172656777,0.186390042,0.205523928,0.223277274,0.238897762,0.250478258,0.258692572,0.263318524,0.264373638,0.26242395,0.26048864,0.258567603,0.258567603,0.258567603,0.258567603,0.258567603,0.258567603,0.258567603,0.258567603,0.258567603,0.258567603,0.258567603,0.258567603,0.258567603,0.258567603
x+7,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.000694811,0.00078717,0.000880717,0.000974079,0.001066014,0.001155482,0.001241689,0.001324123,0.001402572,0.00147712,0.001548147,0.001616308,0.001682518,0.001747934,0.00181395,0.001882189,0.001954521,0.002033087,0.002120354,0.002219186,0.002332955,0.002465695,0.002622309,0.002808855,0.003032938,0.003246326,0.003507444,0.003828031,0.004222249,0.004707268,0.005303953,0.006026169,0.006912169,0.007996412,0.009318292,0.010921091,0.012849857,0.015151008,0.01787341,0.021067867,0.024786701,0.029083901,0.034016231,0.039645711,0.046043955,0.053298921,0.061522558,0.070835599,0.081332418,0.093049032,0.105921636,0.119738557,0.134137305,0.148639201,0.162673043,0.175612193,0.193639678,0.210366452,0.225083699,0.235994562,0.24373389,0.24809235,0.249086453,0.247249504,0.245426102,0.243616147,0.243616147,0.243616147,0.243616147,0.243616147,0.243616147,0.243616147,0.243616147,0.243616147,0.243616147,0.243616147,0.243616147,0.243616147,0.243616147,0.243616147
x+8,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.00065505,0.000742124,0.000830318,0.000918337,0.001005011,0.001089358,0.001170632,0.001248349,0.001322308,0.001392591,0.001459553,0.001523814,0.001586234,0.001647907,0.001710145,0.001774479,0.001842672,0.001916742,0.001999015,0.002092191,0.00219945,0.002324594,0.002472245,0.002648116,0.002859375,0.003060553,0.003306727,0.003608969,0.003980627,0.00443789,0.00500043,0.005681317,0.006516614,0.007538811,0.008785045,0.010296122,0.012114512,0.014283979,0.016850588,0.01986224,0.02336826,0.027419549,0.032069623,0.03737695,0.043409049,0.050248843,0.058001876,0.06678197,0.076678099,0.087724219,0.099860177,0.112886413,0.12646118,0.140133192,0.153363935,0.165562631,0.182558477,0.198328047,0.212203086,0.222489566,0.229786004,0.233895047,0.234832261,0.233100434,0.231381377,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999,0.229674999
x+9,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000621587,0.000704212,0.000787901,0.000871423,0.00095367,0.001033708,0.00111083,0.001184577,0.001254758,0.00132145,0.001384992,0.001445969,0.001505201,0.001563724,0.001622782,0.00168383,0.001748539,0.001818825,0.001896895,0.001985311,0.00208709,0.002205841,0.00234595,0.002512837,0.002713304,0.002904204,0.003137803,0.003424605,0.003777276,0.00421118,0.004744982,0.005391086,0.006183712,0.00715369,0.00833626,0.009770144,0.011495641,0.01355428,0.015989774,0.018847575,0.02217449,0.026018819,0.030431343,0.035467545,0.041191494,0.047681877,0.055038845,0.063370407,0.072760991,0.083242819,0.094758811,0.1071196,0.120000899,0.132974475,0.145529325,0.157104849,0.173232461,0.188196441,0.201362672,0.211123666,0.218047365,0.221946497,0.222835834,0.221192477,0.219561239,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031,0.217942031
